id,s_kingdom,s_class,name,s_current_listing,s_english_name1,s_english_name2,s_type,s_order,s_family
ecites_species_54,Animalia,Mammalia,Acerodon mackloti,II,"Lesser Sunda Flying-fox, Sunda Flying-fox, Sunda Fruit Bat","Grey-headed Lovebird, Madagascar Lovebird",Fauna,,
ecites_species_55,Animalia,Aves,Aceros cassidix,II,"Buton Hornbill, Celebes Hornbill, Greater Sulawesi Hornbill, Knobbed Hornbill, Red-knobbed Hornbill, Sulawesi Wrinkled Hornbill",Fischer's Lovebird,Fauna,,
ecites_species_56,Animalia,Aves,Aceros corrugatus,II,"Sunda Wrinkled Hornbill, Wrinkled Hornbill","Lilian's Lovebird, Nyasa Lovebird",Fauna,,
ecites_species_57,Animalia,Aves,Aceros leucocephalus,II,"Mindanao Wrinkled Hornbill, White-headed Hornbill, Writhed Hornbill",Black-cheeked Lovebird,Fauna,,
ecites_species_58,Animalia,Aves,Aceros nipalensis,I,"Rufous-cheeked Hornbill, Rufous-necked Hornbill","Black-masked Lovebird, Masked Lovebird, Yellow-collared Lovebird",Fauna,,
ecites_species_59,Animalia,Aves,Aceros waldeni,II,"Panay Wrinkled Hornbill, Rufous-headed Hornbill, Visayan Wrinkled Hornbill, Writhed-billed Hornbill","Red-faced Lovebird, Red-headed Lovebird",Fauna,,
ecites_species_60,Animalia,Mammalia,Acinonyx jubatus,I,"Cheetah, Hunting Leopard",Black-collared Lovebird,Fauna,,
ecites_species_61,Animalia,Reptilia,Acrantophis dumerili,I,"DumÌ©ril's Boa, Madagascar Ground Boa","Abyssinian Lovebird, Black-winged Lovebird",Fauna,,
ecites_species_62,Animalia,Reptilia,Acrantophis madagascariensis,I,"Madagascar Boa, Malagasy Ground Boa",Purple-backed Sunbeam,Fauna,,
ecites_species_63,Animalia,Aves,Acrocephalus rodericanus,III,"Rodrigues Brush-Warbler, Rodrigues Warbler",White-tufted Sunbeam,Fauna,,
ecites_species_64,Animalia,Mammalia,Addax nasomaculatus,I,Addax,Shining Sunbeam,Fauna,,
ecites_species_65,Animalia,Aves,Adelomyia melanogenys,II,Speckled Hummingbird,Black-hooded Sunbeam,Fauna,,
ecites_species_66,Animalia,Amphibia,Adelphobates castaneoticus,II,Brazil-nut Poison Frog,Violet-tailed Sylph,Fauna,,
ecites_species_67,Animalia,Amphibia,Adelphobates galactonotus,II,Splash-backed Poison Frog,Long-tailed Sylph,Fauna,,
ecites_species_68,Animalia,Amphibia,Adelphobates quinquevittatus,II,"Amazonian Poison-Arrow Frog, Rio Madeira Poison Frog",Giant Panda,Fauna,,
ecites_species_69,Animalia,Aves,Aegolius acadicus,II,"Northern Saw-whet Owl, Saw-whet Owl","Lesser Panda, Red Cat-bear, Red Panda",Fauna,,
ecites_species_70,Animalia,Aves,Aegolius funereus,II,"Boreal Owl, Tengmalm's Owl",Aldabra Giant Tortoise,Fauna,,
ecites_species_71,Animalia,Aves,Aegolius harrisii,II,Buff-fronted Owl,"Ambon King-Parrot, Moluccan King-Parrot",Fauna,,
ecites_species_72,Animalia,Aves,Aegolius ridgwayi,II,Unspotted Saw-whet Owl,"Green-winged King-Parrot, Papuan King-Parrot",Fauna,,
ecites_species_73,Animalia,Aves,Aegypius monachus,II,"Black Vulture, Cinereous Vulture",Australian King-Parrot,Fauna,,
